method,h,error,c
Gauss_poly,0.1,0.000981808,1.5
MQ_poly,0.05,0.000243998,1.5
InvMQ_poly,0.05,0.00024462,1.5
Gauss_poly,0.05,0.000244238,1.5
MQ_poly,0.025,6.10E-05,1.5
InvMQ_poly,0.025,6.10E-05,1.5
Gauss_poly,0.025,6.10E-05,1.5
MQ_poly,0.0125,1.52E-05,1.5
InvMQ_poly,0.0125,1.52E-05,1.5
Gauss_poly,0.0125,1.52E-05,1.5
MQ_poly,0.00625,3.81E-06,1.5
InvMQ_poly,0.00625,3.81E-06,1.5
Gauss_poly,0.00625,3.81E-06,1.5
MQ_poly,0.2,0.003944934,1.6
InvMQ_poly,0.2,0.004106541,1.6
Gauss_poly,0.2,0.004013915,1.6
MQ_poly,0.1,0.00097815,1.6
InvMQ_poly,0.1,0.000989162,1.6
Gauss_poly,0.1,0.000982489,1.6
MQ_poly,0.05,0.00024401,1.6
InvMQ_poly,0.05,0.000244713,1.6
Gauss_poly,0.05,0.000244281,1.6
MQ_poly,0.025,6.10E-05,1.6
InvMQ_poly,0.025,6.10E-05,1.6
Gauss_poly,0.025,6.10E-05,1.6
MQ_poly,0.0125,1.52E-05,1.6
InvMQ_poly,0.0125,1.52E-05,1.6
Gauss_poly,0.0125,1.52E-05,1.6
MQ_poly,0.00625,3.81E-06,1.6
InvMQ_poly,0.00625,3.81E-06,1.6
Gauss_poly,0.00625,3.81E-06,1.6
MQ_poly,0.2,0.003947655,1.7
InvMQ_poly,0.2,0.004128071,1.7
Gauss_poly,0.2,0.004025088,1.7
MQ_poly,0.1,0.000978338,1.7
InvMQ_poly,0.1,0.000990697,1.7
Gauss_poly,0.1,0.000983211,1.7
MQ_poly,0.05,0.000244022,1.7
InvMQ_poly,0.05,0.000244813,1.7
Gauss_poly,0.05,0.000244327,1.7
MQ_poly,0.025,6.10E-05,1.7
InvMQ_poly,0.025,6.10E-05,1.7
Gauss_poly,0.025,6.10E-05,1.7
MQ_poly,0.0125,1.52E-05,1.7
InvMQ_poly,0.0125,1.52E-05,1.7
Gauss_poly,0.0125,1.52E-05,1.7
MQ_poly,0.00625,3.81E-06,1.7
